2026-09-11 19:07:51,549 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:07:51,559 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:07:55,257 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: netscope.page, Método: GET
2026-09-11 19:07:55,454 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:07:55,460 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:07:55,466 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_config, Método: GET
2026-09-11 19:07:55,474 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:07:55,513 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:07:55,522 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_devices, Método: GET
2026-09-11 19:07:55,903 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:07:55,913 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_subnets, Método: GET
2026-09-11 19:07:55,959 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:07:55,968 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_stats, Método: GET
2026-09-11 19:07:56,172 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:07:56,182 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: netscope.api_conflicts, Método: GET
2026-09-11 19:08:00,268 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: painel, Método: GET
2026-09-11 19:08:00,413 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:08:00,418 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:08:00,480 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:08:00,489 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:08:01,508 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: dashboard, Método: GET
2026-09-11 19:08:01,769 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:08:01,779 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:08:01,785 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:08:01,794 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: get_chart_data, Método: GET
2026-09-11 19:08:05,483 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: set_language, Método: GET
2026-09-11 19:08:05,524 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: dashboard, Método: GET
2026-09-11 19:08:05,806 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:08:05,815 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:08:05,821 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:08:05,831 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: get_chart_data, Método: GET
